brancher concentration,motor concentration,linker concentration,avalanche time,time,mean displacement,rg,shape,density,clique number,average clustering,mean closeness,mean betweenness,assortativity,avalanche,prediction
0.02,0.5,0.01,720,710,26.1487112019635,0.315944588626977,0.0013615912674119998,0.001539062118772,5,0.177843621399177,0.000686053401736,1.0123659890472e-06,0.815965653482166,0,0
0.02,0.5,0.01,730,720,22.257280338461104,0.317334764732266,0.002346718139015,0.001539005277077,5,0.17742796032529504,0.0006821077234520001,8.58165085528206e-07,0.8244058736459009,0,0
0.02,0.5,0.01,740,730,22.447318582218,0.318878686285404,0.0016314268825579998,0.001531920260591,4,0.17843426883308702,0.0006821816624939999,8.68814199644899e-07,0.784425098767272,0,0
0.02,0.5,0.01,750,740,24.663234117217804,0.318756586852623,0.0025843881832279996,0.001539827088207,5,0.168267326732673,0.0006927492677649999,1.03837455699765e-06,0.795328959237288,0,0
0.02,0.5,0.01,760,750,28.3409542162778,0.315935644657805,0.003327409378332,0.0015467528253639998,6,0.179034882898182,0.000704661438031,1.2650360205852699e-06,0.802640654677304,0,0
0.02,0.5,0.01,770,760,42.648123904658604,0.308686018255789,0.004784311886939,0.0015728547190310004,5,0.17292699041955703,0.000768145888621,2.4105086783421e-06,0.800523796332355,0,0
0.02,0.5,0.01,780,770,32.9406949064428,0.309742286050046,0.004873599595052,0.00154095523625,4,0.168690358670615,0.0007011778326499999,1.02315051454499e-06,0.8010604876469108,0,0
0.02,0.5,0.01,790,780,28.4239525664115,0.31174082940195397,0.005375684240644,0.0015559398592010002,4,0.18563417450107197,0.0007263931171010001,1.14262753167613e-06,0.780056065693938,0,0
0.02,0.5,0.01,800,790,25.747265650017802,0.31289268488647803,0.006878560863302,0.001553673959145,5,0.18712270341207396,0.0007115139693130001,9.67796562230006e-07,0.803077573868884,0,0
0.02,0.5,0.01,810,800,33.2595627379092,0.313058301051438,0.004291837748502001,0.001559085407708,4,0.18613162645659,0.000725258410421,9.63250525693257e-07,0.783514045954524,0,0
0.02,0.5,0.01,820,810,30.479083853910304,0.31074186530025605,0.005360704659361,0.0015708191809889998,6,0.19364532019704397,0.000758221001198,1.3391486239435e-06,0.8086761425861541,0,0
0.02,0.5,0.01,830,820,27.7107142093879,0.31343613336944603,0.004832903407196,0.001560376185075,5,0.18697112786900602,0.000728336491377,1.06203992436789e-06,0.803469873949707,0,0
0.02,0.5,0.01,840,830,25.0171567583444,0.31644548433383196,0.0038329689583990003,0.001553749396667,5,0.189200722140161,0.0007190532165419998,1.46268719687053e-06,0.810435532557138,0,0
0.02,0.5,0.01,850,840,23.4016264881248,0.317472475598704,0.0050685753905679995,0.001554260392834,4,0.19499341238471699,0.0007039519541,8.10949470771911e-07,0.7913744685571049,0,0
0.02,0.5,0.01,860,850,23.772892846602996,0.319632011719372,0.005817119343689,0.0015558691112259999,5,0.18992746455654502,0.0007091373007810001,9.679389027854549e-07,0.80926322241062,0,0
0.02,0.5,0.01,870,860,24.5280292036521,0.32055335755993203,0.006559703241648001,0.0015544585959370001,5,0.18395792241946102,0.00072595126905,1.24513836864638e-06,0.79586372688233,0,0
0.02,0.5,0.01,100,90,25.438117927681603,0.38340744181720005,0.010816419084465,0.001489302301476,4,0.12722029988466,0.0006196600628069999,6.85866690083002e-07,0.809168360131193,0,0
0.02,0.5,0.01,110,100,22.8110834635651,0.38209050584339,0.010839943755104,0.001498507817054,5,0.14628299051376,0.000628849246038,6.027574359310371e-07,0.822605003319519,0,0
0.02,0.5,0.01,140,130,31.085128856599603,0.37342405858335204,0.023798736561192996,0.001493168971111,4,0.127479033053774,0.000633811049887,7.49632799876524e-07,0.792601916719737,0,0
0.02,0.5,0.01,150,140,27.364317481318604,0.37235644994169,0.028551354858922,0.0014996953203779998,5,0.131346249379036,0.000631317538545,7.65881445965253e-07,0.803848311126672,0,0
0.02,0.5,0.01,170,160,25.3657471622757,0.368444896884558,0.02631095279188,0.001507085769706,4,0.145349222111884,0.0006482002215680001,8.539889526812179e-07,0.792594764118842,0,0
0.02,0.5,0.01,180,170,24.0903706287821,0.3694083136415561,0.027446200586832996,0.001497641105031,4,0.131057232393205,0.000632858037238,6.524793868500999e-07,0.808546040724638,0,0
0.02,0.5,0.01,190,180,23.853586929395398,0.369462683697949,0.026315846299496005,0.001486356379413,4,0.140885159591971,0.000618002161579,7.825367282854729e-07,0.8031776757297221,0,0
0.02,0.5,0.01,200,190,26.8639202961536,0.36830921561260105,0.029592299914491,0.0015098887424620003,4,0.144449942272802,0.0006495719514780001,8.6406809095322e-07,0.8232812731968159,0,0
0.02,0.5,0.01,210,200,31.1546363701135,0.36460305529365294,0.04204935515206,0.001531155657265,5,0.153247821082059,0.000708688100245,1.56756708039627e-06,0.822291842864957,0,0
0.02,0.5,0.01,220,210,34.943271162950694,0.361809328918831,0.04630452405404701,0.0015514643229279999,5,0.16188592152983802,0.000725846028928,1.11016171528484e-06,0.80902764035078,0,0
0.02,0.5,0.01,230,220,24.240007813112502,0.36234782346105704,0.054397226407128,0.001527157909012,5,0.15411298315163502,0.0006895784021349999,9.466547731729759e-07,0.7979377420093531,0,0
0.02,0.5,0.01,240,230,20.257467460270103,0.36242198756570204,0.04748009211886,0.0015240567512920002,5,0.156297395318167,0.0006732603401279999,8.530945874111609e-07,0.8326148790090608,0,0
0.02,0.5,0.01,250,240,26.364820825060896,0.356755555022993,0.039973031698896,0.001540713836562,4,0.17433497536945802,0.0006982326601980001,8.447195325000309e-07,0.8046016465878009,0,0
0.02,0.5,0.01,260,250,22.7646391795886,0.3544174062786671,0.040101338969304005,0.0015264185190470001,5,0.157164031620553,0.000685094490299,8.14814585914107e-07,0.8011668391832149,0,0
0.02,0.5,0.01,270,260,25.170082016072197,0.351704402865607,0.037552014558121,0.00153689166915,5,0.17283586974308598,0.0006952919767739999,9.41015260582635e-07,0.808996168250022,0,0
0.02,0.5,0.01,280,270,23.5099532034423,0.350430124814859,0.035079666680668004,0.0015103529654749998,4,0.155209363666337,0.000652937408522,7.149906638597941e-07,0.806240948636322,0,0
0.02,0.5,0.01,290,280,32.5528908816157,0.349267849221654,0.024354083712105002,0.0015183440753589999,5,0.14885142951578303,0.0006612666310350001,7.55473391294717e-07,0.8188362329659941,0,0
0.02,0.5,0.01,300,290,30.077785754222802,0.350847592270426,0.030409200943244997,0.00153907378646,5,0.172487292998852,0.0006937207965260001,7.80675040282022e-07,0.803197646242619,0,0
0.02,0.5,0.01,310,300,33.0283123680767,0.348724057953621,0.030615684708003996,0.001562118815465,5,0.179325731284085,0.000732065567767,1.14578096889738e-06,0.8147418999930909,0,0
0.02,0.5,0.01,320,310,31.048138419924502,0.345730902583128,0.024815966146457,0.0015482675831470002,6,0.175765054294176,0.0007021113020700001,7.772379261856641e-07,0.809405614948573,0,0
0.02,0.5,0.01,330,320,31.8611397739406,0.34446300236057603,0.026017495322740003,0.0015488215488220001,4,0.190518518518519,0.0007049363796530001,9.00202494906873e-07,0.808478767247603,0,0
0.02,0.5,0.01,340,330,29.1806149041257,0.341399658616556,0.019367040877717,0.001532890444417,5,0.16611568310238903,0.000689070676733,1.0395168244513e-06,0.8030863205150289,0,0
0.02,0.5,0.01,350,340,24.8620164863869,0.340727313292692,0.016169793629067,0.001553771938908,5,0.179034914361002,0.000707778396639,9.36565712893268e-07,0.817333894778257,0,0
0.02,0.5,0.01,360,350,27.023468068925702,0.337462926743769,0.012413541154247,0.001529349242603,4,0.160540184453228,0.000691965665053,8.926000281507929e-07,0.815811712094631,0,0
0.02,0.5,0.01,370,360,27.9081569452487,0.34033327556470805,0.013189031276881001,0.001530516865063,5,0.165254515599343,0.0006875313557010001,7.0776387133506e-07,0.7893705871580251,0,0
0.02,0.5,0.01,380,370,24.5553172996139,0.339429125062579,0.013255996961466999,0.001535067009782,5,0.170628231461152,0.000679441011229,6.61252800328719e-07,0.809755574532812,0,0
0.02,0.5,0.01,390,380,22.9766340354533,0.339656539733686,0.012226717841641001,0.001520770182881,4,0.153072348860258,0.000660710957807,6.483269043872599e-07,0.8133545526681479,0,0
0.02,0.5,0.01,400,390,27.6934499836879,0.33772726646499795,0.009684379124113001,0.0015407527887870002,4,0.17806366485238298,0.00069316299774,9.465682737457199e-07,0.8215233340086641,0,0
0.02,0.5,0.01,410,400,25.223783006290898,0.3396268993381789,0.011593737512656,0.001528233604484,4,0.178506824535438,0.00066929945594,6.90951246084457e-07,0.808012551326491,0,0
